"deep"	"surf"	"stra"	"Age"	"Attitude"	"Points"	"gender"
"1"	3.58	2.58	3.38	53	3.7	25	"F"
"2"	2.92	3.17	2.75	55	3.1	12	"M"
"3"	3.5	2.25	3.62	49	2.5	24	"F"
"4"	3.5	2.25	3.12	53	3.5	10	"M"
"5"	3.67	2.83	3.62	49	3.7	22	"M"
"6"	4.75	2.42	3.62	38	3.8	21	"F"
"7"	3.83	1.92	2.25	50	3.5	21	"M"
"8"	3.25	2.83	4	37	2.9	31	"F"
"9"	4.33	2.17	4.25	37	3.8	24	"M"
"10"	4	3	3.5	42	2.1	26	"F"
"11"	3.58	2.67	3.62	37	3.9	31	"M"
"12"	3.83	2.42	4.75	34	3.8	31	"F"
"13"	4.25	2.25	3.62	34	2.4	23	"F"
"14"	3.33	2.75	3.5	34	3	25	"F"
"15"	4.17	2.33	1.75	35	2.6	21	"M"
"17"	3.67	2.33	3.88	33	4.1	31	"F"
"18"	4.08	2.92	1.38	32	2.6	20	"F"
"19"	3.5	2.5	3.25	44	2.6	22	"F"
"20"	4.08	3.75	3	29	1.7	9	"M"
"21"	4	2.75	3.75	30	2.7	24	"F"
"22"	3.92	2.33	2.62	27	3.9	28	"M"
"23"	4	2.42	2.38	29	3.4	30	"M"
"24"	4	3	3.62	31	2.7	24	"F"
"25"	3.67	2.42	2.75	37	2.3	9	"F"
"26"	3.67	2.83	1.75	26	3.7	26	"F"
"27"	4.42	3.17	3.25	26	4.4	32	"F"
"28"	3.92	3	4	30	4.1	32	"M"
"30"	3.75	2	3.62	33	3.7	33	"F"
"31"	3.25	3.5	2.88	33	2.5	29	"F"
"32"	3.58	3.75	3	28	3	30	"M"
"33"	4.92	2.5	1.62	26	3.4	19	"M"
"34"	3.58	2.08	3.25	27	3.2	23	"F"
"35"	2.92	2.42	3.5	25	2	19	"F"
"36"	3.67	2.58	3	31	2.4	12	"F"
"37"	4.5	1.58	3.25	20	4.2	10	"M"
"38"	4.08	2.83	1.88	39	1.6	11	"F"
"39"	3.83	1.83	4.38	38	3.1	20	"M"
"40"	3.25	2.42	3.62	24	3.8	26	"M"
"41"	2.33	3.25	2.5	26	3.8	31	"M"
"42"	3.33	3.42	1.25	25	3.3	20	"M"
"43"	4.08	3.42	4	30	1.7	23	"F"
"44"	2.92	3.17	3	25	2.5	12	"F"
"45"	3.33	3.5	2.5	30	3.2	24	"M"
"46"	3.83	2.67	4.88	48	3.5	17	"F"
"47"	3.67	2.42	5	24	3.2	29	"F"
"48"	4.67	3.58	4.38	40	4.2	23	"F"
"49"	3.75	2.08	3.25	25	3.1	28	"M"
"50"	3.42	3.75	4	23	3.9	31	"F"
"51"	4.17	2.92	3.12	25	1.9	23	"F"
"52"	2.92	2.92	2.5	23	2.1	25	"F"
"53"	4.17	2.42	3.12	27	2.5	18	"M"
"54"	3.58	3	3.25	25	3.2	19	"M"
"55"	2.83	3.42	2.12	23	3.2	22	"M"
"56"	4	2.92	2.75	23	2.6	25	"F"
"57"	2.92	3.25	2.38	23	2.3	21	"F"
"58"	3	3.25	3.12	45	3.8	9	"F"
"59"	4.08	2.33	4	22	2.8	28	"F"
"60"	2.92	3.25	4	23	3.3	25	"F"
"61"	3.5	2.5	2.25	21	4.8	29	"M"
"62"	4.33	1.75	3.25	21	4	33	"M"
"63"	4.25	2.25	3.62	21	4	33	"F"
"64"	3.42	2.08	3.62	21	4.7	25	"F"
"65"	3.08	2.83	2.5	26	2.3	18	"F"
"66"	4.58	2.83	1.88	25	3.1	22	"F"
"67"	3.42	2.42	2	26	2.7	17	"F"
"68"	3.42	2.25	1.88	21	4.1	25	"M"
"70"	3.42	2.83	4	23	3.4	28	"F"
"71"	3.58	2.25	2.88	22	2.5	22	"F"
"72"	1.58	1.83	3.88	22	2.1	26	"F"
"73"	3.33	2.92	2.5	22	1.4	11	"F"
"74"	4.33	2.92	2.75	23	1.9	29	"F"
"75"	4.42	2.08	4.5	22	3.7	22	"M"
"77"	4.83	2.33	3.38	23	3.2	21	"M"
"78"	3.08	2.42	2.62	24	2.8	28	"M"
"79"	3	2.75	4.12	22	4.1	33	"F"
"80"	4.08	3.25	2.62	23	2.5	16	"F"
"81"	4.08	1.75	2.25	22	2.8	31	"M"
"82"	3.75	2.58	2.75	20	3.8	22	"M"
"83"	3.08	3.33	3	22	3.1	31	"M"
"84"	4.75	2.83	1.62	21	3.5	23	"M"
"85"	4.25	2.5	1.88	22	3.6	26	"F"
"86"	4.17	2.42	3.38	23	2.6	12	"F"
"87"	4.42	2.42	3.75	21	4.4	26	"M"
"88"	3.83	2.58	2.12	22	4.5	31	"M"
"89"	3.33	3	2.38	29	3.2	19	"M"
"91"	3.17	2	2.75	29	3.9	30	"F"
"92"	3.17	3.42	3.12	21	2.5	12	"F"
"93"	3.83	2.83	3.5	28	3.3	17	"M"
"95"	4.25	2.25	2.62	21	3.3	18	"F"
"96"	3.83	2.75	3.38	30	3	19	"F"
"97"	3.67	3.92	2.25	21	2.9	21	"F"
"98"	3.83	2.33	3	23	3.3	24	"M"
"99"	3.83	2.75	4	21	3.3	28	"F"
"100"	3.83	2.75	3.5	21	3.5	17	"F"
"101"	3.67	2.92	2.62	20	3.6	18	"F"
"103"	4.33	2.08	2.5	22	3.7	17	"M"
"105"	3.75	3.67	3.75	21	4.2	23	"M"
"107"	4.17	2.83	3.62	21	3.2	26	"M"
"108"	4	3.42	4.12	20	5	28	"F"
"109"	4	1.58	4.38	22	4.7	31	"M"
"110"	4.58	2.92	2.62	20	3.6	27	"F"
"111"	3.67	3	4	20	3.6	25	"F"
"112"	3.67	2.92	2.75	24	2.9	23	"M"
"113"	3.83	2.67	2.75	20	3.5	21	"F"
"114"	2.58	3	1.38	19	4	27	"F"
"115"	3.5	2.75	2.25	21	3.5	28	"F"
"116"	3.08	3.08	3.62	21	3.2	23	"F"
"117"	4.25	2.5	3.75	22	2.6	21	"F"
"118"	3.17	2.33	4	25	2	25	"F"
"119"	3.08	3	3.12	21	2.7	11	"F"
"120"	4.17	3	3.25	22	3.2	19	"F"
"121"	2.25	4	2.12	25	3.3	24	"F"
"122"	3.33	3.25	2.88	20	3.9	28	"F"
"123"	3.08	3.5	1.5	24	3.3	21	"M"
"124"	2.75	3.5	2.5	20	3	24	"F"
"125"	3.25	3.83	3.25	21	3.7	24	"M"
"128"	4	2.92	3.62	20	2.5	20	"F"
"129"	3.58	2.17	3.88	20	2.9	19	"F"
"130"	4.08	1.67	3.88	31	3.9	30	"M"
"131"	4.25	2.08	2.38	20	3.6	22	"F"
"132"	3.42	2.83	3	22	2.9	16	"F"
"133"	3.08	3.42	3.38	22	2.1	16	"F"
"134"	3.5	3.33	2.75	21	3.1	19	"M"
"136"	3.67	2.58	4.5	22	4	30	"M"
"137"	4.25	2.83	2.62	21	3.1	23	"F"
"138"	4.25	3.33	2.75	21	2.3	19	"F"
"139"	3.83	3	3.25	21	2.8	18	"F"
"140"	4.42	2.58	4.12	21	3.7	28	"F"
"141"	3.5	2.42	3.38	20	2.6	21	"F"
"142"	3.58	3.58	2.75	21	2.4	19	"F"
"143"	3.67	2.08	4.12	25	3	27	"F"
"146"	2.08	4.33	3.25	21	2.8	24	"M"
"147"	4.25	2.67	2.88	24	2.9	21	"F"
"148"	3.58	3	2.88	20	2.4	20	"F"
"149"	4	2.67	2.38	21	3.1	28	"M"
"150"	3.33	2.17	3.88	20	1.9	12	"F"
"151"	3.5	2.67	2.12	20	2	21	"F"
"152"	3.17	2.25	4	18	3.8	28	"F"
"153"	3.58	2.67	3.25	21	3.4	31	"F"
"154"	3.42	3.33	2.62	19	3.7	18	"F"
"155"	4.25	3.5	2.75	21	2.9	25	"F"
"156"	3.25	2.75	4	20	2.3	19	"F"
"157"	4.42	2	3	21	4.1	21	"M"
"158"	3.25	2.83	3.38	20	2.7	16	"F"
"159"	3.92	3.5	3.88	21	3.5	7	"F"
"160"	3.58	2.5	3.25	20	3.4	21	"F"
"161"	4.5	3.17	3.38	18	3.2	17	"F"
"162"	3.58	3.08	4.12	22	3.3	22	"M"
"163"	3.67	2.92	3.5	22	3.3	18	"F"
"164"	2.58	3.17	2	24	3.5	25	"M"
"165"	4.17	2.5	3.62	19	3.2	24	"F"
"166"	3.25	3.83	3.38	20	3.1	23	"F"
"168"	4.33	2.25	2.12	20	2.8	23	"F"
"169"	3.92	3.42	4.62	17	1.7	26	"F"
"170"	2.67	3.75	2.5	19	1.9	12	"M"
"172"	3.08	3	2.88	20	3.5	32	"F"
"173"	3.75	2.58	2.75	20	2.4	22	"F"
"175"	4.17	3.33	4	20	2.1	20	"F"
"176"	4.17	2.83	2.38	20	2.9	21	"F"
"177"	3.25	3	3.88	19	1.9	23	"F"
"178"	4.08	2.83	3.38	19	2	20	"F"
"179"	2.92	3.17	1.75	22	4.2	28	"F"
"180"	3.83	2.75	3	35	4.1	31	"M"
"181"	3.17	3.42	2.62	18	3.7	18	"F"
"182"	3.42	3	2.62	19	3.6	30	"F"
"183"	4.08	2.67	3.38	21	1.8	19	"M"
